Timestamp,Presenter ,Brief Bio,School / Organization,Co-Presenters,Session Title ,Session Description       ,Strand ,Which of the following Early Childhood Core Copentencies will your session support?,Grade level (check ALL that apply),Are you interested in presenting at a round table discussion?  This would involve rotating small groups of 5-8 participants in a small group setting.  You would provide 20 minute mini-sessions in stead of 1 hour sessions.  ,"Equipment Needed---If you need sound for your presentation, please bring your own speakers. Microphones will be provided for only the largest rooms. ",Tables: Tables for participants are not available in session rooms.  Each presenter will have one table at the front. Do you need additional tables for your materials?,"If you need tables, how many? (3 maximum)",Session Description ,Location ,Time,Max Capacity ,Gold Mine Session Time Slots,,
6/28/2019 0:29:49,"Gayle Y. Fisher, M.Ed., Ed.Tech.",,Getting Sorted Inc. ,,"Learning Interventions, Learning Differences, Movement & Sensory Integration","Is the child keeping up with peers?   Let's talk about how the child learns, how things can go wrong, how  learning differences fit in, and what you can do about that.  ",Other,,"Birth to Toddler, PPCD, Pre-K, K, 1st, 2nd",Yes,"LCD Projector and Screen -  i will bring my own laptop and all necessary power cords, connectors, adapters and cables.",No,,"Is the child keeping up with peers?   Let's talk about how the child learns, how things can go wrong, how  learning differences fit in, and what you can do about that.  ",ELC ,2:00 p.m. ,50,,,
7/8/2019 19:44:41,Yvonne Lopez Taylor,,Carter Academy // Aldine ISD ,Yvette Conde // A.W Jones EC PREK K,Everyone is an Artist ,"In this make and take, participants will explore using mentor texts and art to reinforce language arts, math, science, and social studies TEKS. Learn how to use art to strike conversations and advance skills in your students. Participants leave with a book list, project ideas, see student examples, and create their own project. 
",Integrated Curriculum,Supporting Skill Development,"Pre-K, K, 1st, 2nd",No,"LCD Projector and Screen -  i will bring my own laptop and all necessary power cords, connectors, adapters and cables.",Yes,Three,"In this make and take, participants will explore using mentor texts and art to reinforce language arts, math, science, and social studies TEKS. Learn how to use art to strike conversations and advance skills in your students. Participants leave with a book list, project ideas, see student examples, and create their own project.",Dance Studio,10:15 a.m. ,50,,,
7/17/2019 16:55:50,Dr. Codi Freeman,,University of Houston-Clear Lake,,Early Childhood Guided Reading/Small Group Lesson Cycle,"Early literacy is an essential aspect of the educational experience of children.  The session will teach participants how to teach early literacy skills in a small group setting.  A small group lesson plan will be provided with specific strategies to teach young children early literacy skills.
",Language/Literacy,"Learning Environments, Planning Framework, Curriculum and Standards","Pre-K, K, 1st, 2nd",No,"LCD Projector and Screen -  i will bring my own laptop and all necessary power cords, connectors, adapters and cables.",No,One,Early literacy is an essential aspect of the educational experience of children. This session will teach participants how to teach early literacy skills in a small group setting. A small group lesson plan will be provided with specific strategies to teach young children early literacy skills. ,ELC,12:45 p.m. ,50,,,
7/24/2019 14:40:33,Katie Chennisi,,Harris County Public Health,Justin Rahman,Nature Play Every Day!,"With over 30% of children being overweight or obese, physical activity is critical. Nature play is even more important as kids are losing their connection to the natural world. This session will cover the how to create outdoor learning environments and  address challenges to making these healthy changes. Practical strategies, best practices, and resources will be shared to help achieve nature play every day!",Health,"Health, Safety and Nutrition","Birth to Toddler, Pre-K, K",No,"LCD Projector and Screen -  i will bring my own laptop and all necessary power cords, connectors, adapters and cables.",Yes,One,"With over 30% of children being overweight or obese, physical activity is critical. Nature play is even more important as kids are losing their connection to the natural world. This session will cover the how to create outdoor learning environments and  address challenges to making these healthy changes. Practical strategies, best practices, and resources will be shared to help achieve nature play every day!",1420,10:15 a.m. ,50,,,
8/15/2019 22:24:17,Sandy Chilton,,Austin ISD,Denise Graham and Barb Stevanson,"STEMtales: Fun, Literature-based Math, Science and  Engineering",Want a whole new way to bring your favorite Fairy Tale stories to life? How about combining them with engaging STEM challenges? STEM Tales are fairy tales with a STEM twist. The engineering task is to solve the problem presented in the story. STEM Tales are a way to integrate literacy and STEM/STEAM activities for kids.,Integrated Curriculum,"Learning Environments, Planning Framework, Curriculum and Standards","Pre-K, K, 1st, 2nd",No,"LCD Projector and Screen -  i will bring my own laptop and all necessary power cords, connectors, adapters and cables.",No,,Want a whole new way to bring your favorite Fairy Tale stories to life? How about combining them with engaging STEM challenges? STEM Tales are fairy tales with a STEM twist. The engineering task is to solve the problem presented in the story. STEM Tales are a way to integrate literacy and STEM/STEAM activities for kids.,Dance Studio,2:00 p.m. ,50,,,
8/16/2019 7:22:21,Nicole Shanahan,,HCDE,Kristen Allen,Supporting Spectacular Subitizers!,"Subitizing, or instantly recognizing a small quantity, is an important foundational skill present in both our Pre-K Guidelines and Kindergarten TEKS. Join us as we have fun with some whole group instruction as well as some workstations that help build fluency with subitizing! Bonus: we will have a small make & take!",Mathematics,"Learning Environments, Planning Framework, Curriculum and Standards","Pre-K, K",No,"LCD Projector and Screen -  i will bring my own laptop and all necessary power cords, connectors, adapters and cables.",Yes,Two,"Subitizing, or instantly recognizing a small quantity, is an important foundational skill present in both our Pre-K Guidelines and Kindergarten TEKS. Join us as we have fun with some whole group instruction as well as some workstations that help build fluency with subitizing!  Bonus: we will have a small make & take!",1420,12:45 p.m. ,50,,,
8/16/2019 8:26:48,Daniel Franklin,,British International School of Houston,,Unleashing Creativity with the iPad,Apple believe that Everyone Can Create. Spend an hour seeing and trying out examples of creative tasks with the iPad that you can take back to your students and teachers.,Technology,Supporting Skill Development,"K, 1st, 2nd",,"LCD Projector and Screen -  i will bring my own laptop and all necessary power cords, connectors, adapters and cables.",No,,Apple believe that Everyone Can Create. Spend an hour seeing and trying out examples of creative tasks with the iPad that you can take back to your students and teachers.,Dance Studio,10:15 a.m. ,50,,,
8/16/2019 12:01:07,Cindy Brill ,,Learning Without Tears,,Essential Literacy Skills: What’s Missing? ,"This session will review brain research related to how children learn to read versus typical instructional practices. Attendees will be empowered and equipped with the skills and knowledge to identify gaps in instruction and given the tools necessary for children to become confident, skilled readers and writers. ",Language/Literacy,"Learning Environments, Planning Framework, Curriculum and Standards","K, 1st, 2nd",Yes,"LCD Projector and Screen -  i will bring my own laptop and all necessary power cords, connectors, adapters and cables.",No,,"This session will review brain research related to how children learn to read versus typical instructional practices. Attendees will be empowered and equipped with the skills and knowledge to identify gaps in instruction and given the tools necessary for children to become confident, skilled readers and writers. ",ELC,10:15 a.m. ,50,,,
8/16/2019 12:38:10,Georgia Frawley,,Rialto Unified School District,Ken Frawley,"Signed Phonics for Decoding Tools, Phonics Rules and Reading Readiness","Participants will learn how to combine ASL with music and extension games to teach single sound consonants, CVC & CVCE words, long & short vowels, and hard & soft sounds. Perfect for TK, Kindergarten and grades 1 & 2 to use multiple learning styles to get the most bang for your buck.",Language/Literacy,Supporting Skill Development,"Pre-K, K, 1st, 2nd",No,"LCD Projector and Screen -  i will bring my own laptop and all necessary power cords, connectors, adapters and cables.",No,,"Participants will learn how to combine ASL with music and extension games to teach single sound consonants, CVC & CVCE words, long & short vowels, and hard & soft sounds. Perfect for TK, Kindergarten and grades 1 & 2 to use multiple learning styles to get the most bang for your buck.",Hang Time College,2:00 p.m. ,50,,,
8/16/2019 16:53:06,Dr. Tammy Russell,,Walden University,,Virtual & Concrete Math Manipulatives,A student solves a math problem with a virtual math manipulative. Does this happen in your classroom? This session will explore virtual manipulatives and the modernization of concrete math manipulatives coexisting in the classroom. while impacting a student's developmental domains? ,Mathematics,"Learning Environments, Planning Framework, Curriculum and Standards","Pre-K, K, 1st, 2nd",Yes,"LCD Projector and Screen -  i will bring my own laptop and all necessary power cords, connectors, adapters and cables.",No,,A student solves a math problem with a virtual math manipulative. Does this happen in your classroom? This session will explore virtual manipulatives and the modernization of concrete math manipulatives coexisting in the classroom. while impacting a student's developmental domains? ,ELC,11:30 a.m. ,50,,,
